bench_strict_projection	cargo test -p openwepp-hillslope-orchestrator all_open_topology_projects_empty_canonical_v8_passes
bench_one_open_tile	cargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_an_all_open_ofe
bench_single_rank_covered	cargo test -p openwepp-land-surface-energy covered_single_rank_potential_fixed_cap_and_alternate_start_match_frozen_oracle
bench_two_rank_covered	cargo test -p openwepp-land-surface-energy covered_multirank_potential_fixed_cap_and_alternate_start_match_frozen_oracle
bench_mixed_open_covered	cargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_mixed_open_and_covered_owners_once
bench_complete_public_envelope	cargo test --test land_surface_energy_real_hydrology_shadow_contract
bench_actual_byte_rollback	cargo test -p openwepp-hillslope-orchestrator every_injected_phase_preserves_all_six_actual_owner_byte_records
child4_48_intervals_replace	cargo test -p openwepp-hillslope-orchestrator forty_eight_interval_day_replaces_only_complete_shadow_state
child4_48_late_failure	cargo test -p openwepp-hillslope-orchestrator failed_late_interval_rolls_back_every_shadow_and_production_byte
child4_48_half_day_restart	cargo test -p openwepp-hillslope-orchestrator retained_half_day_restart_is_byte_identical_to_uninterrupted_day
child4_48_explicit_scheduler_equivalence	cargo test -p openwepp-hillslope-orchestrator explicit_scheduler_consumer_advances_shadow_without_changing_production
child4_48_downstream_failure_rollback	cargo test -p openwepp-hillslope-orchestrator downstream_scheduler_failure_discards_production_and_complete_shadow_candidate
