stage,operand,units,domain_lower,domain_upper,domain_authority,grid_rule,refinement_rule,stopping_rule,state
GSI_TIMING,minimum_temperature_inactive_c,degC,UNBOUNDED_FINITE,less_than_unconstrained,SC-PLANT-001 INV-PLANT-033 and runtime validator,NONE_NO_FINITE_BOUNDS,NONE,NONE,HOLD_MISSING_SEARCH_BOUND_AUTHORITY
GSI_TIMING,minimum_temperature_unconstrained_c,degC,greater_than_inactive,UNBOUNDED_FINITE,SC-PLANT-001 INV-PLANT-033 and runtime validator,NONE_NO_FINITE_BOUNDS,NONE,NONE,HOLD_MISSING_SEARCH_BOUND_AUTHORITY
GSI_TIMING,vapor_pressure_deficit_unconstrained_pa,Pa,0,less_than_inactive,SC-PLANT-001 INV-PLANT-033 and runtime validator,NONE_NO_FINITE_UPPER_BOUND,NONE,NONE,HOLD_MISSING_SEARCH_BOUND_AUTHORITY
GSI_TIMING,vapor_pressure_deficit_inactive_pa,Pa,greater_than_unconstrained,UNBOUNDED_FINITE,SC-PLANT-001 INV-PLANT-033 and runtime validator,NONE_NO_FINITE_UPPER_BOUND,NONE,NONE,HOLD_MISSING_SEARCH_BOUND_AUTHORITY
GSI_TIMING,photoperiod_inactive_hours,h,0,less_than_unconstrained,SC-PLANT-001 INV-PLANT-033 and runtime validator,NONE_VECTOR_INCOMPLETE,NONE,NONE,HOLD_MISSING_COMPLETE_VECTOR_BOUNDS
GSI_TIMING,photoperiod_unconstrained_hours,h,greater_than_inactive,24,SC-PLANT-001 INV-PLANT-033 and runtime validator,NONE_VECTOR_INCOMPLETE,NONE,NONE,HOLD_MISSING_COMPLETE_VECTOR_BOUNDS
BIOMASS_PARTITION,Bf_max,kg_m-2,greater_than_0,UNBOUNDED_FINITE,SC-PLANT-001 CP-GSI02|CAL03-OBS-HB-001 partition sum,NONE_NO_SEPARATING_OBSERVATION_OR_UPPER_BOUND,NONE,NONE,HOLD_INSUFFICIENT_SEPARATING_AUTHORITY
BIOMASS_PARTITION,Bs,kg_m-2,0,UNBOUNDED_FINITE,SC-PLANT-001 CP-GSI02|CAL03-OBS-HB-001 partition sum,NONE_NO_SEPARATING_OBSERVATION_OR_UPPER_BOUND,NONE,NONE,HOLD_INSUFFICIENT_SEPARATING_AUTHORITY
EVERGREEN_FRACTION,fe,fraction,0,1,SC-PLANT-001 CP-GSI02,NONE_NO_STAGE_OBSERVATION,NONE,NONE,HOLD_MISSING_STAGE_AUTHORITY
PEAK_LAI,xmxlai,m2_m-2,greater_than_0,UNBOUNDED_FINITE,SC-PLANT-001 CP-GSI02|CAL03-OBS-HB-005 bounded mature LAI,NONE_UPSTREAM_NOT_FROZEN_AND_NO_UPPER_SEARCH_BOUND,NONE,NONE,HOLD_CONDITIONAL_AUTHORITY
CANOPY_COVER,Cs,fraction,0,0.999,SC-PLANT-001 CP-GSI02,NONE_NO_STAGE_OBSERVATION,NONE,NONE,HOLD_MISSING_STAGE_AUTHORITY
CANOPY_COVER,bb,m2_kg-1,greater_than_0,UNBOUNDED_FINITE,SC-PLANT-001 CP-GSI02,NONE_NO_STAGE_OBSERVATION_OR_UPPER_BOUND,NONE,NONE,HOLD_MISSING_STAGE_AUTHORITY
