identity,path,sha256,role,state,notes
SC-PLANT-001,docs/specifications/science-contracts/contracts/SC-PLANT-001.md,1055114dd4a9410541a3c5b050b657d6a891b8244f1d48be8620b8e89c03b563,controlling_process_contract,VERIFIED,INV-PLANT-033..037 and CP-GSI02
SC-MANAGEMENT-YAML-001,docs/specifications/science-contracts/contracts/SC-INFILE-MANAGEMENT-YAML-001.md,752c834592654cf0b7017a46dc82b5b6483e0c3a5b3279dffe77a5e71e5b027d,typed_input_contract,VERIFIED,Validation domains are not finite calibration bounds
PRECAL-PROTOCOL,docs/work-packages/20260726-canopy-cal-03-observation-native-research-001/artifacts/pre-calibration-protocol.md,9bdb3ceff68e48a2db10e34ff54d77dae8f419bbcd62a093e96501fe7e12ee54,frozen_protocol,VERIFIED,Immutable calibration and holdout roles
CAL04-OPERATOR,docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-partition-and-objective.md,cbe8b49917a321b95a11f49ac2afb387bc8545edabb89c31d56d65544c2e6206,admitted_operator,VERIFIED,Hubbard calibration and Harvard holdout
CAL04-PRIOR-DISPOSITION,docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-prior-disposition.md,63354fb0de661957bc85f808cc06dd78ed0fe62bee1b14cc9d32c072244d7713,admitted_design,VERIFIED,Prior-free deterministic bounded ensemble required
CAL04-TIMING-WINDOWS,docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-timing-windows.csv,890a0ff09ca707b097a15cb5de7964698a9b4d5af797ed6b81d5fccf7c141b61,calibration_and_holdout_intervals,REBUILT_IDENTICAL,932 calibration and 319 sealed holdout rows
CAL04-EXTRACTOR,docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/tools/extract_authority.py,eba4041dfb24ce93bfc0834e57e1caf153d3a23bd5ed47790e7a8710cd13b5de,authority_rebuild_tool,VERIFIED,Rebuild output byte-identical
HUBBARD-RUNFILE,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.native.run.toml,7938bd6fa16614230bf38b02d746ba3d8d2af9ad185bc71f78c659d49c4e1498,protected_calibration_member,VERIFIED,Read-only
HUBBARD-MANAGEMENT,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.man.yaml,70c5aff2de0afea86f87ec7adf15e9ad98c7fe5a2ff83e50c63dfb5c5daaaf25,protected_calibration_configuration,VERIFIED,Read-only and not search authority
HARVARD-RUNFILE,tests/fixtures/cancov_forest/harvard_deciduous_ma/p6.native.run.toml,1ddc0833a914f04153bb149b1c7535de2f7588fc53cdd66e695fa0fa60a98997,protected_holdout_member,VERIFIED_SEALED,Read-only
HARVARD-MANAGEMENT,tests/fixtures/cancov_forest/harvard_deciduous_ma/p6.man.yaml,8f2258b052706ec949adfd63fb99555dbb347996c38b8c3bdf1b2a98d3a1431a,protected_holdout_configuration,VERIFIED_SEALED,Read-only and not search authority
AUTHORITY-SHA256SUMS,references/canopy_phenology/authority_admission/SHA256SUMS,fcbc547819ff1b97791edcf6638e0ecb6e6d4a77411ef141f99ef319f6f673b2,authority_object_manifest,PASS,All 20 retained objects passed
CORPUS-SHA256SUMS,tests/fixtures/cancov_forest/observations/canopy_phenology/SHA256SUMS,08724595233eef2ca14a41f74bdddd7c49d4be78f3c92e2ae234b84daed9e5c5,observation_corpus_manifest,PASS,All four corpus objects passed
NATIVE-RUNNER,target/release/openwepp-cli-hill,4a73dc634112f1bad4499dcbac9a718b46309156dfc415a2f1b118c19e3fe2fc,native_production_runner,IDENTIFIED_NOT_EXECUTED,"10820168 bytes; mtime 2026-07-26 15:18:47.834805044 -0700"
