inventory_id,record_class,record_selector,count,retained_authority,calibration_eligibility,notes
CAL03-INV-001,OBSERVATION,CAL03-OBS-HB-001..CAL03-OBS-HB-013,13,Retained primary sources through CAL01 plus exact Hubbard synthesis summaries,OBSERVATION_ONLY,Includes admissible bounded context and one excluded misclassification
CAL03-INV-002,OBSERVATION,CAL03-OBS-SEF-001..CAL03-OBS-SEF-006,6,Retained primary sources through CAL01,OBSERVATION_ONLY,Only unmanaged WS80 forest-floor stock is admitted as a holdout
CAL03-INV-003,OBSERVATION,CAL03-OBS-SNOW-001..CAL03-OBS-SNOW-003,3,Existing checksum-bound Harvard and Marcell observed datasets,DOWNSTREAM_ONLY,Snow observations cannot select canopy parameters
CAL03-INV-004,FITTED_OPERAND,CAL03-FIT-HB-001..CAL03-FIT-SEF-005,11,CAL01 audited Bill-method operands,INELIGIBLE,Operands are not observations
CAL03-INV-005,DERIVED_DIAGNOSTIC,CAL03-DIAG-001..CAL03-DIAG-007,7,CAL03 frozen diagnostic definitions,INELIGIBLE,Calculation results cannot fit themselves
CAL03-INV-006,LEGACY_COMPARISON,CAL03-LEG-HB-001..CAL03-LEG-SEF-004,8,CAL01 report-target ledger,INELIGIBLE,Bill values remain legacy comparisons
CAL03-INV-007,MODEL_OUTPUT,CAL03-MOD-HB-001..CAL03-MOD-SEF-003,7,CAL02 paired reconstruction,INELIGIBLE,Mechanism characterization only
CAL03-INV-008,GAP,GAP-CAL04-INDEPENDENT-PHENOLOGY-HOLDOUT,1,No retained exact research object supplies an independent quantitative timing series,MISSING_REQUIRED,Hard blocker before CAL04 parameter fitting
CAL03-INV-009,GAP,GAP-CAL04-NUMERIC-PRIORS,1,No retained evidence admits probability priors for native parameters,MISSING_REQUIRED,Bounds may use contract domains but priors cannot be invented
CAL03-INV-010,GAP,GAP-CAL05-SOURCE-COMPOSITION,1,No site-matched measured leaf needle and fine-woody flux composition is retained,MISSING_REQUIRED,CAL05 may test source sufficiency but cannot hide missing inputs in decay
