state_surface_id,subsystem,surface_name,producer,consumer,units,invariant_refs,acceptance_tier,evidence_tag,evidence_mode,authority_refs,notes
ST-001,SS-01,run_contract_config,SS-01,SS-02,N/A,"INV-CONTRACT-001;INV-CONTRACT-002;INV-CONTRACT-005",N/A,[DIRECT],Static,"docs/contracts/README.md;docs/contracts/openwepp-runner-contract.md;docs/decisions/0011-architecture-first-top-down-science-contracts.md","Dual-mode boundary (schema + legacy bridge) normalizes to typed config; missing/ambiguous compatibility prerequisites are hard errors"
ST-002,SS-02,typed_units_manifest,SS-02,SS-05,N/A,"INV-CONTRACT-003",N/A,[DIRECT],Static,"docs/contracts/routine-interface-v1.md","Routine descriptors require units manifest references"
ST-003,SS-03,hillslope_daily_water_balance,SS-03,SS-06,m3,"INV-PHYS-002;INV-CLOSE-001;INV-NUM-001",Tier-A,[INFERENCE],Static,"docs/architecture/README.md;docs/numerics/README.md","Daily water-balance surface is Tier-A per ADR-0011"
ST-004,SS-03,snowpack_storage_depth,SS-03,SS-06,m,"INV-PHYS-001",Tier-A,[DIRECT],Static,"docs/decisions/0011-architecture-first-top-down-science-contracts.md","Melt cannot exceed available snowpack"
ST-005,SS-03,hbp_shard_payload,SS-03,SS-04,binary,"INV-ORCH-001",N/A,[DIRECT],Static,"docs/architecture/README.md;docs/contracts/README.md","Per-hillslope HBP shard consumed by watershed process"
ST-006,SS-04,watershed_topology_graph,SS-01,SS-04,N/A,"INV-ORCH-003",N/A,[DIRECT],Static,"docs/decisions/0009-network-node-contract-and-extensibility.md","Typed node graph contract is required for routing"
ST-007,SS-04,channel_reach_flow,SS-04,SS-06,m3/s,"INV-CLOSE-001;INV-PARITY-002;INV-NUM-001",Tier-B,[INFERENCE],Static,"docs/architecture/README.md;docs/decisions/0011-architecture-first-top-down-science-contracts.md","Hourly/watershed channel surfaces are Tier-B investigation signals"
ST-008,SS-04,watershed_daily_balance,SS-04,SS-06,m3,"INV-CLOSE-001;INV-PARITY-001;INV-NUM-001",Tier-A,[INFERENCE],Static,"docs/decisions/0011-architecture-first-top-down-science-contracts.md","Daily watershed balance routed as higher-confidence acceptance signal"
ST-009,SS-07,replay_spec,SS-01,SS-07,N/A,"INV-CONTRACT-004",N/A,[DIRECT],Static,"docs/decisions/0006-three-binaries-incl-replay.md","Replay input is distinct from simulation run-config input"
ST-010,SS-07,comparator_delta_report,SS-07,SS-06,N/A,"INV-PARITY-001;INV-PARITY-002",Tiered,[DIRECT],Static,"docs/decisions/0011-architecture-first-top-down-science-contracts.md;docs/decisions/0003-parity-semantic-not-bit.md","Comparator output is triage signal, not universal oracle"
ST-011,SS-08,hillslope_parquet_output,SS-03,SS-08,N/A,"INV-IO-001",N/A,[DIRECT],Static,"docs/decisions/0005-parquet-via-wepppyo3-interchange.md","Schema authority remains wepppy/wepppyo3 interchange"
ST-012,SS-08,watershed_parquet_output,SS-04,SS-08,N/A,"INV-IO-001",N/A,[INFERENCE],Static,"docs/architecture/README.md;docs/decisions/0005-parquet-via-wepppyo3-interchange.md","Watershed outputs remain contract-bound to interchange schemas"
ST-013,SS-09,binary_release_sidecar,SS-09,SS-03,N/A,"INV-RELEASE-001",N/A,[DIRECT],Static,"docs/contracts/openwepp-binary-release-contract.md","Mandatory .json sidecar for each binary artifact"
ST-014,SS-09,launch_telemetry_and_typed_errors,SS-09,SS-03,mixed,"INV-CONTRACT-002;INV-ERROR-001",N/A,[DIRECT],Static,"docs/contracts/openwepp-runner-contract.md;AGENTS.md","No silent fallback; typed launch failures must be surfaced"
ST-015,SS-06,cross_tier_tolerance_contract,SS-06,SS-07,N/A,"INV-NUM-001",Tier-A/B,[DIRECT],Static,"docs/decisions/0003-parity-semantic-not-bit.md;docs/numerics/README.md","Cross-cutting tolerance-governance binding applied to all Tier-A and Tier-B audited numeric surfaces"
ST-016,SS-06,within_config_determinism_contract,SS-03+SS-04,SS-07,N/A,"INV-NUM-002",Tier-A/B,[DIRECT],Static,"docs/numerics/README.md","Run-level determinism binding for same-target repeatability with single thread and pinned seed"
ST-017,SS-06,provenance_authority_contract,SS-07,SS-06,N/A,"INV-PROV-001",Tier-A/B,[DIRECT],Static,"docs/decisions/0011-architecture-first-top-down-science-contracts.md","Legacy static evidence is secondary authority and cannot independently close acceptance decisions"
