execution_rank,intra_wave_rank,surface_id,contract_id,category,wave,depends_on,blocks,critical_path_value,dependency_centrality,tier_a_leverage,compatibility_burden,hold_gap_risk,observability_leverage,weighted_score,priority_class,gap_ids,notes
1,1,infile-slope-slp,SC-INFILE-SLOPE-001,hillslope,Wave-1,"none","infile-management-man;infile-irrigation-fixeddate;infile-irrigation-depletion",5,5,5,3,3,4,3.70,core-foundation,"SLP-GAP-001;SLP-GAP-002;SLP-GAP-003","OFE topology and profile geometry are core prerequisites for high-confidence hillslope startup. [DIRECT][INFERENCE]"
2,2,infile-soil-sol,SC-INFILE-SOIL-001,hillslope,Wave-1,"none","infile-management-man;infile-wepp-ui",5,5,5,4,3,4,3.60,core-foundation,"SOL-GAP-001;SOL-GAP-002;SOL-GAP-003","Layer/state surfaces are central to daily water-balance closure and many sidecar semantics. [DIRECT][INFERENCE]"
3,3,infile-climate-cli,SC-INFILE-CLIMATE-001,hillslope,Wave-1,"none","infile-management-man;infile-snow;infile-frost",5,4,5,3,3,4,3.45,core-foundation,"CLI-GAP-001;CLI-GAP-002;CLI-GAP-003","Daily forcing is mandatory for Tier-A comparator signal and schedule horizon checks. [DIRECT][INFERENCE]"
4,4,infile-management-man,SC-INFILE-MANAGEMENT-001,hillslope,Wave-1,"infile-slope-slp;infile-soil-sol;infile-climate-cli","infile-pmetpara;infile-irrigation-fixeddate;infile-irrigation-depletion",5,4,5,5,3,4,3.25,core-foundation,"MAN-GAP-001;MAN-GAP-002;MAN-GAP-003","Highest branch complexity in Tier-A core; still required for executable crop/operation scheduling. [DIRECT][INFERENCE]"
5,1,infile-pmetpara,SC-INFILE-PMETPARA-001,sidecar,Wave-2,"infile-management-man","none",3,3,3,4,3,3,2.00,tier-a-extension,"PMET-GAP-001;PMET-GAP-002;PMET-GAP-003","Crop lookup sidecar extends management realism with moderate compatibility burden. [DIRECT][INFERENCE]"
6,2,infile-irrigation-depletion,SC-INFILE-IRRIGATION-DEPLETION-001,sidecar,Wave-2,"infile-management-man;infile-slope-slp","none",3,3,3,5,3,3,1.90,tier-a-extension,"IRD-GAP-001;IRD-GAP-002;IRD-GAP-003","Adds legacy depletion irrigation path; high compatibility burden but still hillslope-centric. [DIRECT][INFERENCE]"
7,3,infile-irrigation-fixeddate,SC-INFILE-IRRIGATION-FIXEDDATE-001,sidecar,Wave-2,"infile-management-man;infile-slope-slp","none",3,3,3,5,4,3,1.85,tier-a-extension,"FDIR-GAP-001;FDIR-GAP-002;FDIR-GAP-003;FDIR-GAP-004","Fixed-date irrigation has branch-order complexity and unresolved authority details. [DIRECT][INFERENCE]"
8,4,infile-frost,SC-INFILE-FROST-001,sidecar,Wave-2,"infile-climate-cli","none",3,2,3,4,2,3,1.80,tier-a-extension,"FROST-GAP-001;FROST-GAP-002","Small surface but materially relevant to freeze logic; gap risk is moderate. [DIRECT][INFERENCE]"
9,5,infile-snow,SC-INFILE-SNOW-001,sidecar,Wave-2,"infile-climate-cli","none",3,2,3,4,4,3,1.70,tier-a-extension,"SNOW-GAP-001;SNOW-GAP-002;SNOW-GAP-003;SNOW-GAP-004","Simple file shape but unresolved unit/bounds policy raises governance risk. [DIRECT][INFERENCE]"
10,6,infile-wepp-ui,SC-INFILE-WEPPUI-001,sidecar,Wave-2,"infile-soil-sol","none",2,2,2,3,2,3,1.40,tier-a-extension,"WEPPUI-GAP-001;WEPPUI-GAP-002","Sentinel semantics are small but useful for legacy run-mode compatibility surfaces. [DIRECT][INFERENCE]"
