candidate_id,daily_stock_sse,state
S010-K000,3287.3007177535169,RETAINED_NONMINIMUM
S010-K050,818.87506074343571,RETAINED_NONMINIMUM
S010-K100,1830.5248779426697,RETAINED_NONMINIMUM
S010-K200,2581.6796041305761,RETAINED_NONMINIMUM
S020-K000,23444.693981764784,RETAINED_NONMINIMUM
S020-K050,0,RECOVERED_TRUTH
S020-K100,737.58962881980779,RETAINED_NONMINIMUM
S020-K200,1821.4334169236161,RETAINED_NONMINIMUM
S030-K000,62321.087245775983,RETAINED_NONMINIMUM
S030-K050,818.87506074342696,RETAINED_NONMINIMUM
S030-K100,150.51408164151428,RETAINED_NONMINIMUM
S030-K200,1207.736282659773,RETAINED_NONMINIMUM
S040-K000,119916.48050978733,RETAINED_NONMINIMUM
S040-K050,3275.5002429737201,RETAINED_NONMINIMUM
S040-K100,69.298236407795955,RETAINED_NONMINIMUM
S040-K200,740.58820133904635,RETAINED_NONMINIMUM
