cell,status,basis
Alerce forcing-domain blocker,LIFTED_FOR_BOUNDED_EXECUTION,full-period hourly paired-product daily mean has zero negative admitted daily VPD rows
signed-latitude calendar and seasonal direction,CONTRADICTED,two SH sites with provisional GCC proxies and gridded forcing
producer-state cyclic phase invariance,SUPPORTED,focused full wrapped-cycle producer-state test
deciduous transition chronology,CONTRADICTED,provisional GCC transition proxy; residuals reported without invented threshold
relative seasonal shape,BOUNDED,"median r values: {('SH-DB-BEZA', '2024'): 0.737415052, ('SH-DB-BEZA', '2025'): 0.681574141, ('SH-EN-ALERCE', '2024'): 0.469413933, ('SH-EN-ALERCE', '2025'): 0.49164645}"
persistent evergreen realization,BOUNDED,independent evergreen-class lane; GCC color is not foliage mass
quantitative evergreen-floor agreement,NOT_EVALUATED,"no site-authoritative foliage-mass, LAI, or canopy-cover floor"
daily foliar mass closure,SUPPORTED,maximum kernel-reported or independently reconstructed residual 2.082e-17 kg m-2
real downstream consumer ordering and common-state lineage,SUPPORTED,focused direct-production consumer test passed
phase-transformed real-consumer chronology,NOT_EVALUATED,producer phase test and consumer ordering test are separate evidence
absolute canopy amplitude,NOT_EVALUATED,"no site-authoritative LAI, biomass, or canopy-cover mapping"
needle/fine-woody/decomposition consequences,NOT_EVALUATED,predictive litter-source authority remains missing
