source_id,custody_identity,site,location,climate,period,temporal_resolution,observed_stratum,model_fixture,binding,observed_quantities_units,forcing_source_uncertainty,comparison_operator,total_rows,depth_rows,swe_rows,density_rows,role,discriminates,limitation
marcell_rds_2021_0016,USDA FS RDS DOI 10.2737/RDS-2021-0016,Marcell,"Minnesota, USA",cold_continental,1962-03-13..2019-04-18,biweekly/irregular snow course,conifer,marcell_conifer_mn,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; observation-coincidence uncertainty retained,exact-date modeled stratum state; canopy-minus-open contrast,237,237,233,223,INDEPENDENT_VALIDATION,both,Spatial snow-course mean; forcing limited
marcell_rds_2021_0016,USDA FS RDS DOI 10.2737/RDS-2021-0016,Marcell,"Minnesota, USA",cold_continental,1962-03-12..2019-04-18,biweekly/irregular snow course,deciduous,marcell_deciduous_mn,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; observation-coincidence uncertainty retained,exact-date modeled stratum state; canopy-minus-open contrast,255,255,248,239,INDEPENDENT_VALIDATION,both,Spatial snow-course mean; forcing limited
marcell_rds_2021_0016,USDA FS RDS DOI 10.2737/RDS-2021-0016,Marcell,"Minnesota, USA",cold_continental,1962-03-15..2019-04-18,biweekly/irregular snow course,open,marcell_open_mn,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; observation-coincidence uncertainty retained,exact-date modeled stratum state; canopy-minus-open contrast,214,214,211,202,INDEPENDENT_VALIDATION,control,Spatial snow-course mean; forcing limited
harvard_hf237,Harvard Forest HF237 DOI 10.6073/pasta/be69b1f46b57354a25d85a437c0679c8; CC0,Harvard,"Massachusetts, USA",humid_continental,2008-12-01..2014-04-19,daily rows; measurements intermittently non-null,hardwood,harvard_deciduous_ma,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; observation-coincidence uncertainty retained,exact-date modeled stratum state; canopy-minus-open contrast,821,448,443,463,INDEPENDENT_VALIDATION,both,Intermittent non-null observations; forcing limited
harvard_hf237,Harvard Forest HF237 DOI 10.6073/pasta/be69b1f46b57354a25d85a437c0679c8; CC0,Harvard,"Massachusetts, USA",humid_continental,2008-12-01..2014-04-19,daily rows; measurements intermittently non-null,hemlock,,unbound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; observation-coincidence uncertainty retained,exact-date modeled stratum state; canopy-minus-open contrast,821,449,393,479,DIAGNOSTIC_ONLY,both,SWE uses observed/interpolated density; hemlock has no pure-conifer fixture
harvard_hf237,Harvard Forest HF237 DOI 10.6073/pasta/be69b1f46b57354a25d85a437c0679c8; CC0,Harvard,"Massachusetts, USA",humid_continental,2008-12-01..2014-04-19,daily rows; measurements intermittently non-null,open,harvard_open_ma,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; observation-coincidence uncertainty retained,exact-date modeled stratum state; canopy-minus-open contrast,821,390,354,404,INDEPENDENT_VALIDATION,control,Intermittent non-null observations; forcing limited
nrcs_623_id_sntl,USDA NRCS AWDB public station record,snotel_mica_creek_st_joe_id,623:ID:SNTL,northern_rockies_intermountain,1990-09-18..2024-12-31,daily,open,snotel_mica_creek_st_joe_id,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; station/forcing representativeness retained,same-date modeled/observed state and persistence signatures,12448,4408,6352,2540,INDEPENDENT_VALIDATION,sublimation,Open control; cannot identify canopy longwave
nrcs_679_wa_sntl,USDA NRCS AWDB public station record,snotel_paradise_wa,679:WA:SNTL,cascades_maritime,1980-09-16..2024-12-30,daily,open,snotel_paradise_wa,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; station/forcing representativeness retained,same-date modeled/observed state and persistence signatures,15204,3564,10289,3170,INDEPENDENT_VALIDATION,sublimation,Open control; cannot identify canopy longwave
nrcs_428_ca_sntl,USDA NRCS AWDB public station record,snotel_css_lab_ca,428:CA:SNTL,sierra_maritime,1981-05-18..2024-12-31,daily,open,snotel_css_lab_ca,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; station/forcing representativeness retained,same-date modeled/observed state and persistence signatures,15379,3934,7047,1744,INDEPENDENT_VALIDATION,sublimation,Open control; cannot identify canopy longwave
nrcs_766_ut_sntl,USDA NRCS AWDB public station record,snotel_snowbird_ut,766:UT:SNTL,wasatch_intermountain,1989-08-24..2024-12-31,daily,open,snotel_snowbird_ut,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; station/forcing representativeness retained,same-date modeled/observed state and persistence signatures,11946,4803,6470,2754,INDEPENDENT_VALIDATION,sublimation,Open control; cannot identify canopy longwave
nrcs_663_co_sntl,USDA NRCS AWDB public station record,snotel_niwot_co,663:CO:SNTL,front_range_continental,1980-06-08..2024-12-31,daily,open,snotel_niwot_co,bound,depth:m; SWE:mm; density:kg m^-3,fixture climate forcing; station/forcing representativeness retained,same-date modeled/observed state and persistence signatures,16022,5943,10421,3382,INDEPENDENT_VALIDATION,sublimation,Open control; cannot identify canopy longwave
usgs_sleepers_p96753gi,USGS DOI 10.5066/P96753GI,Sleepers South Field,"Vermont, USA",humid_cold,1983-11-27..2017-04-17,field-visit observations,open,site1_sleepers_south_field_vt,bound,depth:m; frost depth:m,fixture forcing; record alignment uncertainty,same-date snow-depth/frost signatures,392,384,0,0,DIAGNOSTIC_ONLY,downstream,No SWE
usgs_sleepers_p96753gi,USGS DOI 10.5066/P96753GI,Sleepers W9,"Vermont, USA",humid_cold,1993-11-30..2020-03-16,field-visit observations,hardwood,site2_sleepers_w9_hardwood_vt,bound,depth:m; frost depth:m,fixture forcing; record alignment uncertainty,same-date snow-depth/frost signatures,200,193,0,0,DIAGNOSTIC_ONLY,downstream,No SWE; source periods are not fully coincident
not_installed,none,HJ Andrews,"Oregon, USA",warm_maritime,missing,missing,conifer,,missing,needed: depth:m and/or SWE:mm,needed: observation-coincident meteorology,paired canopy/open time series,0,0,0,0,DIAGNOSTIC_ONLY,both,Required for decisive warm-maritime conifer transfer claim
not_installed,none,Hubbard Brook,"New Hampshire, USA",humid_cold,missing,missing,hardwood,,missing,needed: depth:m and/or SWE:mm,needed: observation-coincident meteorology,paired canopy/open time series,0,0,0,0,DIAGNOSTIC_ONLY,both,No installed normalized observation
