equation_id,formulation,units,sign,authority,decision,scope_limit
LW_SUB_DOWN,"L_sub_down = f_sky L_atm_down + (1-f_sky) sigma T_c^4","W m^-2","positive toward snow","Essery 2008 Eq. 1; Rutter 2023 Eq. 2",ADMIT,"homogeneous stands away from gaps and edges; effective canopy emissivity fixed at 1"
VIEW_SKY,"f_sky = (1/pi) integral integral sin(theta) cos(theta) c(theta phi) dphi dtheta","fraction","not applicable","Essery 2008 Eqs. 2-5",ADMIT,"hemispherical radiometric geometry; not plan-view canopy cover"
VIEW_SKY_MAPPING_BASE,"tau_d = exp(-1.6 k_ext VAI_eff); with k_ext = 0.5 f_sky_candidate = exp(-0.8 VAI_eff)","dimensionless fraction","not applicable","Essery et al. 2025 FSM2 Eq. 14 and section 2.3",ADMIT_MAPPING_BASE,"randomly oriented homogeneous canopy; exact openWEPP leaf-plus-stem VAI_eff composition remains an EB-02 canonical-contract decision"
CANOPY_PROXY_ERROR,"delta L approximately 4(1-f_sky) sigma T_air^3 (T_c-T_air)","W m^-2","model minus air-proxy sensitivity","Essery 2008 Eq. 6 with effective emissivity 1",ADMIT_DIAGNOSTIC,"linearized sensitivity only; not a correction formula"
SNOW_OUT,"L_snow_up = sigma T_s^4","W m^-2","away from snow","Sicart 2004; Lundquist 2013",ADMIT,"effective snow emissivity fixed at 1; requires authoritative snow surface temperature"
LW_NET,"L_net = L_sub_down - L_snow_up","W m^-2","positive energy toward snow","Lundquist 2013 Eq. 3; openWEPP shared primitive",ADMIT,"do not add canopy emission without displacing sky fraction"
ATM_WATER,"w = 4650 e_0 / T_0","kg m^-2 equivalent mm water","not applicable","Flerchinger 2009 corrected Table 1 footnote following Prata 1996",ADMIT_FOR_CONTRACT,"e_0 in kPa; T_0 in K; equivalently w_cm = 465 e_0/T_0 with 2.5 cm reference"
ATM_CLEAR,"L_clear = 59.38 + 113.7 (T_0/273.16)^6 + 96.96 sqrt(w/25)","W m^-2","positive toward surface","Flerchinger 2009 corrected Table 1; Dilley and O'Brien 1998",ADMIT_FOR_CONTRACT,"T_0 in K; w in kg m^-2; coefficients carry W m^-2"
ATM_CLEAR_EMISSIVITY,"epsilon_clear = L_clear / (sigma T_0^4)","fraction","not applicable","Flerchinger 2009 section 2.4",ADMIT_FOR_CONTRACT,"Dilley directly predicts flux so emissivity is back-calculated"
ATM_CLOUD,"epsilon_all = (1-0.84 c) epsilon_clear + 0.84 c; L_atm_down = epsilon_all sigma T_0^4","fraction then W m^-2","positive toward surface","Flerchinger 2009 Table 2; Unsworth and Monteith 1975",ADMIT_FOR_CONTRACT,"c in [0 1]; use contract-matched clearness mapping; legacy cloud fraction is not automatically equivalent"
TRUNK_THREE_PART,"L_sub_down = f_sky L_atm_down + f_canopy E_canopy + f_trunk E_trunk","W m^-2","positive toward snow","Webster 2016",DO_NOT_SELECT_STAND_DEFAULT,"use for gap-edge or explicit geometry only; fractions must close"
CANOPY_EB,"R_net = H + LE + storage with shortwave and longwave boundary fluxes","W m^-2","source-specific","Musselman and Pomeroy 2017 Eqs. 4 and 9-14",DEFER_HIGH_RESOLUTION,"requires canopy geometry aerodynamic resistance heat storage and solar aspect"
