operand,required_role,current_surface,authority_status,implementation_status,successor_action
hourly_air_temperature,atmospheric and provisional effective-canopy temperature,winter hourly air temperature,ADMITTED,AVAILABLE_OPEN_AIR,"retain open/above-canopy forcing identity; do not inherit sub-canopy error statistics"
daily_dewpoint,actual vapor pressure for atmospheric longwave,daily dewpoint available to snow-day consumer,ADMITTED,AVAILABLE_DAILY,"derive vapor pressure once per source forcing cadence with typed psychrometrics"
daily_solar_and_potential,clearness index for cloud diagnosis,daily solar plus SIMIMPL28 solar geometry,ADMISSIBLE,AVAILABLE_RECONCILIATION_REQUIRED,"prove the exact observed/extraterrestrial ratio and declared daily window"
legacy_cloud_fraction,cloud correction,daily SIMIMPL28 scalar repeated over 24 winter hours,UNRESOLVED_MAPPING,AVAILABLE_NOT_READY,"prove equivalence or derive contract-matched c; do not silently reuse"
sky_view_fraction,hemispherical sky weighting,derived from existing canopy state,AUTHORITY_BASE_ADMITTED,DERIVED_OPERATOR_NOT_BOUND,"bind FSM diffuse-transmission lineage; no new user or remote-sensing input"
canopy_cover_fraction,structural and seasonal obstruction,dynamic canopy cover with native-forest structural floor,ADMITTED_INPUT_TO_MAPPING,AVAILABLE,"use in an explicit effective-area or clumping role; do not alias directly to sky view"
structural_canopy_cover_fraction,persistent woody obstruction,"static per-crop native-forest authority available to the runner's daily canopy builder; already incorporated as the dynamic-cover floor; not a distinct downstream daily growth field",ADMITTED_INPUT_TO_MAPPING,CONSUMER_BINDING_NOT_READY,"bind explicitly only if needed by the derived operator and prevent double counting with the structural floor already present in dynamic canopy cover"
leaf_area_index,seasonal foliage obstruction,dynamic LAI,ADMITTED_INPUT_TO_MAPPING,AVAILABLE,"compose into effective vegetation area using an admitted mapping"
canopy_height,canopy geometry only when formulation requires it,dynamic canopy height,CONDITIONAL_INPUT_TO_MAPPING,AVAILABLE,"use only with a source-defined finite-crown or gap correction; homogeneous Beer law does not require it"
canopy_emissivity,effective canopy emission coefficient,none,ADMITTED_FIXED_EFFECTIVE_UNITY,MISSING_CONSTANT_BINDING,"bind exactly 1 under the Rutter/Sicart multiple-scattering simplification"
effective_canopy_temperature,downward-facing canopy radiometric temperature,none,CONDITIONAL,MISSING,"open-air proxy only as named homogeneous-stand approximation; stable-night bias diagnostic required"
snow_surface_temperature,outgoing snow longwave,"Stage B air cap; frost adjusted surface; multilayer thermal state",UNRESOLVED_PROVIDER,MULTIPLE_NON_EQUIVALENT_SURFACES,"retain implementation hold until the contract selects one active energy-balance state"
snow_emissivity,outgoing snow longwave,none,ADMITTED_FIXED_EFFECTIVE_UNITY,MISSING_CONSTANT_BINDING,"bind exactly 1 for the selected coherent black-surface exchange"
atmospheric_longwave,sky component,none,ADMITTED_FORMULATION,MISSING,"implement typed Dilley plus Unsworth-Monteith after cloud-operator reconciliation or accept explicit forcing"
