target_id,arm_id,quantity,reported_value,reconstructed_value,unit,tolerance,classification
HB-OUT-001,hubbard_hardwood_095,equilibrium_live_biomass,19.0,18.8714,kg/m2,0.38,PASS_BOUNDED
HB-OUT-002,hubbard_hardwood_095,equilibrium_current_residue,0.75,0.9722200000000001,kg/m2,0.25,PASS_BOUNDED
HB-OUT-003,hubbard_hardwood_095,equilibrium_previous_residue,0.75,0.79475,kg/m2,0.25,PASS_BOUNDED
HB-OUT-004,hubbard_hardwood_095,equilibrium_old_residue,3.2,3.51312,kg/m2,0.25,CONTRADICTED
SEF-OUT-001,santee_mixed,equilibrium_live_biomass,15.0,18.1036,kg/m2,0.3,CONTRADICTED
SEF-OUT-002,santee_mixed,equilibrium_current_residue,0.8,1.2894999999999999,kg/m2,0.25,CONTRADICTED
SEF-OUT-003,santee_mixed,equilibrium_previous_residue,0.6,0.81389,kg/m2,0.25,PASS_BOUNDED
SEF-OUT-004,santee_mixed,equilibrium_old_residue,1.1,1.3691900000000001,kg/m2,0.25,CONTRADICTED
HB-OUT-005,hubbard_hardwood_095,surface_runoff,11.8,2.7230000000000003,mm/yr,1.0,CONTRADICTED
HB-OUT-006,hubbard_hardwood_095,sediment_delivery,5.0,93.60603653693408,kg/ha/yr,1.0,CONTRADICTED
SEF-OUT-005,santee_mixed,surface_runoff,177.3,142.766,mm/yr,3.5460000000000003,CONTRADICTED
SEF-OUT-006,santee_mixed,sediment_delivery,27.0,345.4666666666667,kg/ha/yr,1.0,CONTRADICTED
HB-OUT-009,hubbard_constant,surface_runoff,11.5,1.013,mm/yr,1.0,CONTRADICTED
HB-OUT-010,hubbard_constant,sediment_delivery,4.0,21.445591739475773,kg/ha/yr,1.0,CONTRADICTED
SEF-OUT-009,santee_constant,surface_runoff,211.4,28.694000000000003,mm/yr,4.228,CONTRADICTED
SEF-OUT-010,santee_constant,sediment_delivery,53.0,0.0,kg/ha/yr,1.06,CONTRADICTED
HB-RUN-RP-001,hubbard_constant,daily_runoff_return_level,1.4,0.0,mm,1.0,CONTRADICTED
HB-RUN-RP-002,hubbard_hardwood_095,daily_runoff_return_level,0.1,0.0,mm,1.0,PASS_BOUNDED
SEF-RUN-RP-001,santee_constant,daily_runoff_return_level,70.0,20.3,mm,3.5,CONTRADICTED
SEF-RUN-RP-002,santee_mixed,daily_runoff_return_level,67.0,59.3,mm,3.35,CONTRADICTED
HB-RUN-RP-004,hubbard_constant,daily_runoff_return_level,22.0,0.0,mm,1.1,CONTRADICTED
HB-RUN-RP-005,hubbard_hardwood_095,daily_runoff_return_level,25.0,1.3,mm,1.25,CONTRADICTED
SEF-RUN-RP-004,santee_constant,daily_runoff_return_level,91.0,42.4,mm,4.55,CONTRADICTED
SEF-RUN-RP-005,santee_mixed,daily_runoff_return_level,87.0,82.3,mm,4.3500000000000005,CONTRADICTED
HB-RUN-RP-007,hubbard_constant,daily_runoff_return_level,34.0,0.0,mm,1.7000000000000002,CONTRADICTED
HB-RUN-RP-008,hubbard_hardwood_095,daily_runoff_return_level,40.0,2.7,mm,2.0,CONTRADICTED
SEF-RUN-RP-007,santee_constant,daily_runoff_return_level,128.0,75.2,mm,6.4,CONTRADICTED
SEF-RUN-RP-008,santee_mixed,daily_runoff_return_level,126.0,109.9,mm,6.300000000000001,CONTRADICTED
HB-RUN-RP-010,hubbard_constant,daily_runoff_return_level,59.0,8.4,mm,2.95,CONTRADICTED
