source_id,short_citation,year,title,stable_locator,evidence_tier,study_location,measured_variables,temporal_support,spatial_support,full_text_status,claim_ceiling,accessed_utc
S01,"Rasamimanana, Ratsirarson & Richard",2012,"Influence de la variabilité climatique sur la phénologie de la forêt de la Réserve Spéciale de Bezà Mahafaly",https://bpb-us-w2.wpmucdn.com/campuspress.yale.edu/dist/8/5167/files/2017/02/Rasaminana-et-al.-2012-zdryjy.pdf,DIRECT_SITE_PRIMARY,"Bezà Mahafaly, Madagascar","twice-monthly leaf phenology; local daily rainfall; Tmin; Tmax","phenology 2005-01 through 2011-03; weather 1999-01 through 2011-03","307 trees; 26 species; gallery and xerophytic transects",FULL_TEXT,"site-level association and habitat contrast; no exclusive cue or production parameter",2026-07-29
S02,"O'Mara & Hickey",2014,"The development of sex differences in ring-tailed lemur feeding ecology",https://doi.org/10.1007/s00265-014-1738-3,DIRECT_SITE_CONTEXT,"Bezà Mahafaly, Madagascar","biweekly plant phenology; rainfall context; lemur feeding","2009-05 through 2010-03","22 transects; 402 woody individuals; 44 species",FULL_TEXT,"site sampling and rainfall-year context only; not mechanism isolation",2026-07-29
S03,"Ratovonamana et al.",2011,"Phenology of different vegetation types in Tsimanampetsotsa National Park, south-western Madagascar",https://www.researchgate.net/publication/283514107_Phenology_of_different_vegetation_types_in_Tsimanampetsotsa_National_Park_south-western_Madagascar,REGIONAL_PRIMARY,"Tsimanampetsotsa, southwestern Madagascar","biweekly leaf phenology; rainfall; temperature; day length; insolation","2007-06 through 2009-03","six plots; three vegetation types; 111 species",FULL_TEXT,"regional contributor and heterogeneity evidence; no Bezà parameter transfer",2026-07-29
S04,"Chapotin, Razanameharizaka & Holbrook",2006,"Baobab trees (Adansonia) in Madagascar use stored water to flush new leaves but not to support stomatal opening before the rainy season",https://doi.org/10.1111/j.1469-8137.2005.01618.x,REGIONAL_PRIMARY,"Kirindy, western Madagascar","weekly leaf phenology; stem water; sap flow; stomatal conductance; rainfall","seasonal campaign spanning pre-rain flush","three Adansonia species; 82 trees",FULL_TEXT,"stored-water mechanism in studied baobabs; not general forest or Bezà authority",2026-07-29
S05,"Richardson et al.",2018,"Tracking vegetation phenology across diverse North American biomes using PhenoCam imagery",https://doi.org/10.1038/sdata.2018.28,METHOD_PRIMARY,"North American PhenoCam network","daily GCC; spline fits; transition thresholds; uncertainty","site-years through data release 2015","393 site-years; 130 sites",FULL_TEXT,"PhenoCam data-product semantics and uncertainty; not biological equivalence to GSI",2026-07-29
S06,"Young et al.",2025,"Tracking vegetation phenology across diverse biomes using Version 3.0 of the PhenoCam Dataset",https://doi.org/10.5194/essd-17-6531-2025,METHOD_PRIMARY,"global PhenoCam network","GCC products; transition records; V2/V3 comparison","2018 through 2023 with earlier continuity comparison","network-scale",FULL_TEXT,"current record definitions and release-comparison limits",2026-07-29
S07,"Donnelly et al.",2022,"Exploring discrepancies between in situ phenology and remotely derived phenometrics at NEON sites",https://doi.org/10.1002/ecs2.3912,METHOD_PRIMARY,"temperate North American sites","in-situ leaf phenophases; PhenoCam GCC thresholds","multiple spring and autumn site-years","multiple species and camera ROIs",FULL_TEXT,"method disagreement and ROI-composition risk; not tropical-site correction",2026-07-29
S08,"Keenan et al.",2014,"Tracking forest phenology and seasonal physiology using digital repeat photography: a critical assessment",https://doi.org/10.1890/13-0652.1,METHOD_PRIMARY,"temperate deciduous forest","GCC; LAI; canopy physiology","multi-year seasonal cycles","canopy camera footprint",FULL_TEXT,"nonlinear GCC/structure relation and early-leaf color effect",2026-07-29
S09,"Rivera et al.",2002,"Increasing day-length induces spring flushing of tropical dry forest trees in the absence of rain",https://doi.org/10.1007/s00468-002-0185-3,MECHANISM_ANALOGUE,"tropical dry forests in the Americas and Asia","leaf flush timing; rainfall; day length","cross-site seasonal observations","more than 50 species across multiple regions",FULL_TEXT,"photoperiod plausibility outside Bezà; no site parameter or universal trigger",2026-07-29
S10,"Méndez-Alonzo et al.",2013,"Leaf phenology is associated with soil water availability and xylem traits in a tropical dry forest",https://doi.org/10.1007/s00468-012-0829-x,MECHANISM_ANALOGUE,"Chamela, Mexico","leaf phenology; soil water potential; topography; xylem traits","seasonal field campaign","18 species",FULL_TEXT,"soil-water and trait plausibility outside Madagascar",2026-07-29
