claim_id,claim,source_ids,evidence_status,authority_scope,important_limit,solution_route
C01,"Rainfall is a major contributor to seasonal leaf abundance at Bezà.",S01,SUPPORTED_AT_SITE,"gallery and xerophytic transects during the observed period","correlation and seasonal covariation do not establish rainfall as the exclusive cue",MISSING_PROCESS
C02,"Gallery forest retains leaves later than xerophytic forest at Bezà.",S01,SUPPORTED_AT_SITE,"two studied forest types","habitat contrast does not identify the causal water source",PARAMETER_OR_ECOTYPE_TRANSFER
C03,"Groundwater from the Sakamena may buffer gallery-forest phenology.",S01,UNRESOLVED,"site hypothesis","groundwater level and rooting-zone access were not measured",MISSING_PROCESS
C04,"Temperature independently controls Bezà transitions.",S01,NOT_SUPPORTED,"none","temperature covaried seasonally; the study did not isolate an independent effect",PARAMETER_OR_ECOTYPE_TRANSFER
C05,"VPD is an observed causal driver of Bezà leaf transitions.",S01,NOT_SUPPORTED,"none","site study did not calculate or isolate VPD; CAL-07D shows model sensitivity only",FORCING_BIAS
C06,"Southwestern Madagascar phenology is heterogeneous across vegetation types and species, with ongoing water stress contributing to leaflessness.",S03,SUPPORTED_AS_CONTRIBUTOR,"regional vegetation types","regional evidence does not transfer a single Bezà threshold",PARAMETER_OR_ECOTYPE_TRANSFER
C07,"Photoperiod is a plausible cue for some tropical dry-forest pre-rain leaf flushing.",S03|S09,PLAUSIBLE_FROM_ANALOGUE,"some species and climatic regimes","regional day-length association was not significant and broad analogue regimes differ from Bezà",MISSING_PROCESS
C08,"Stored stem water can support pre-rain leaf flush while stomata remain closed until soil water increases.",S04,SUPPORTED_AS_CONTRIBUTOR,"studied western-Madagascar baobab species","genus-specific mechanism cannot be generalized to the Bezà ROI",MISSING_PROCESS
C09,"Soil-water availability and hydraulic traits can organize dry-forest leaf strategies.",S10,PLAUSIBLE_FROM_ANALOGUE,"Mexican tropical dry forest","analogue does not authorize Madagascar parameters or equations",MISSING_PROCESS
C10,"PhenoCam 10/25/50 transition dates are relative thresholds of a fitted seasonal GCC amplitude.",S05|S06,SUPPORTED_AS_CONTRIBUTOR,"PhenoCam data-product semantics","thresholds are not fractions of GSI, LAI, biomass, or canopy cover",OBSERVATION_SEMANTICS
C11,"GCC transitions can disagree materially with in-situ leaf phenology and depend on ROI composition.",S07|S08,SUPPORTED_AS_CONTRIBUTOR,"method studies","reported offsets are not transferable correction factors for Bezà",OBSERVATION_SEMANTICS
C12,"The CAL-07 retained transition file is a GCC_mean Data Record 7 product, while CAL-07D ancillary source context used smooth_gcc_90.",S05|S06|S15,SUPPORTED_AT_SITE,"retained files and provisional public site archive processed 2026-07-26","falling transition dates can differ materially between the two products; exact dates may change in later provider processing",OBSERVATION_SEMANTICS
C13,"The admitted literature authorizes a production forcing correction, threshold refit, or new water-cue equation.",S01|S03|S04|S05|S06|S07|S08|S09|S10,NOT_SUPPORTED,"none","evidence identifies contributors and measurements, not a unique production formulation",NOT_APPLICABLE
C14,"Post-2011 direct-site records could discriminate recent camera chronology against field phenology and local weather.",S11|S14,ACQUISITION_NEEDED,"potential direct-site record","availability, variables, quality control, and exact dates remain unverified",FORCING_BIAS
C15,"Dry years advance and wet years delay Bezà defoliation.",S01,UNRESOLVED,"author-proposed interannual response","the paper presents this as conditional interpretation or hypothesis rather than a quantified interannual timing test",MISSING_PROCESS
