id,cohorts,units,sign,lineage,fields,availability,anti_alias
observed_date_water_year,all,date/year,n/a,bound observation CSV,date|water_year,AVAILABLE_DIRECT,date and water year must remain paired
observed_swe,all,mm converted once to m,storage nonnegative,SNOTEL/cancov observation CSV,observed_swe_mm,AVAILABLE_DIRECT,never substitute physical depth
observed_depth,all,m,storage nonnegative,SNOTEL/cancov observation CSV,observed_snow_depth_m,AVAILABLE_DIRECT,"physical depth, never SWE"
observed_density,density_structure|harvard_geometry_interception,kg m^-3,nonnegative,paired SWE/depth-derived or source density,observed_density_kg_m3,AVAILABLE_DIRECT,exclude missing/zero-depth pairs; preserve quality flag
observed_precipitation,mountain_under_persistence,mm,input positive,SNOTEL observation CSV,observed_precip_mm,AVAILABLE_DIRECT,not snowfall without phase proof
modeled_day,all,simulation day index,monotonic,retained snow JSONL,day_index,AVAILABLE_DIRECT,join through run calendar; do not assume row offset equals observation date
modeled_swe,all,m SWE,storage nonnegative,direct snow runtime,runtime_swe_before_m|runtime_swe_after_m,AVAILABLE_DIRECT,reconstruct against WAT Snow-Water; not depth
modeled_depth,all,m,storage nonnegative,direct snow runtime,runtime_depth_before_m|runtime_depth_after_m,AVAILABLE_DIRECT,reconstruct against WAT Snow-Depth; not SWE
modeled_density,density_structure|harvard_geometry_interception,kg m^-3,nonnegative,direct snow runtime,runtime_density_before_kg_m3|runtime_density_after_kg_m3,AVAILABLE_DIRECT,must close from SWE/depth when both positive
snow_accumulation,density_structure|mountain_under_persistence|harvard_geometry_interception,m SWE d^-1,input positive,retained daily snow trace,accumulation_m,AVAILABLE_SEMANTIC_PROOF_REQUIRED,requires semantic proof against phase-partition snowfall; not generic precipitation
daily_precipitation,mountain_under_persistence,WAT precipitation units; normalize explicitly,input positive,direct WAT publication,P,AVAILABLE_DIRECT,not snowfall or redistribution
hourly_phase_partition,mountain_under_persistence,m SWE h^-1 rain and snow,input positive,future trace producer,,MISSING_REQUIRED,daily accumulation cannot prove hourly rain/snow partition
wind_redistribution,mountain_under_persistence,kg m^-2 h^-1 or m SWE h^-1,signed deposition/export,future forcing/process authority,,MISSING_REQUIRED,cannot infer from unexplained SWE residual
sublimation,mountain_under_persistence|harvard_geometry_interception,m SWE and signed kg m^-2,loss-positive depth; vapor exchange sublimation negative,shared Stage 3 exchange,sublimation_m|stage3_vapor_mass_exchange_kg_m2,AVAILABLE_DIRECT,"must not alias melt, liquid, or refreeze"
melt_and_routed_liquid,mountain_under_persistence,m SWE/liquid,loss/routing positive,CoE and snow trace ledgers,raw_melt_m|routed_melt_m|snowpack_swe_loss_m,AVAILABLE_DIRECT,"separate raw melt, SWE loss, and routed liquid"
stage3_cold_content_vapor_energy,mountain_under_persistence|harvard_geometry_interception,W m^-2 hourly; J m^-2 integrated,surface energy positive toward snow; cold content positive deficit,shared Stage 3 cold-content/vapor carrier,stage3_hourly_net_shortwave_w_m2|stage3_hourly_net_longwave_w_m2|stage3_hourly_latent_flux_w_m2|stage3_conduction_energy_j_m2|stage3_surface_energy_j_m2|stage3_cold_content_before_j_m2|stage3_cold_content_after_j_m2|stage3_cold_content_export_j_m2|stage3_latent_refreeze_energy_j_m2|stage3_unused_positive_energy_j_m2|stage3_energy_closure_residual_j_m2,AVAILABLE_DIRECT,reconstruct INV-SNOWENERGY-019; Stage 3 unused positive energy is not CoE melt
coe_melt_energy_drivers,mountain_under_persistence,J m^-2 by authoritative CoE melt driver,positive energy available to melt,future CoE melt diagnostic producer,,MISSING_REQUIRED,Stage 3 surface or unused-positive energy cannot stand in for CoE melt authority
rain_and_sensible_heat,mountain_under_persistence,J m^-2 or W m^-2 with explicit integration,positive toward snow,future CoE/forcing energy diagnostic producer,,MISSING_REQUIRED,rain heat and sensible heat must be named separately from Stage 3 radiation/latent terms
layer_state,density_structure|harvard_geometry_interception,"per-layer m, kg m^-3, degC, liquid m, days",state-domain specific,persistent direct snow layers,snow_layers_before|snow_layers_after|snow_layer_count_after|snow_layer_swe_sum_after_m|snow_layer_depth_sum_after_m,AVAILABLE_DIRECT,"aggregate reconstruction must use layer sums, not public-state aliases"
snow_age,density_structure,days,nonnegative,runtime snow state,runtime_settle_day_count_before|runtime_settle_day_count_after,AVAILABLE_DIRECT,not calendar days since first snow when reset/merge semantics differ
layer_overburden,density_structure,kg m^-2,load positive,sum overlying layer SWE times rho_w,snow_layers_before,AVAILABLE_DERIVED,"local overburden, not total-pack SWE for every layer"
process_density_tendency,density_structure,kg m^-3 d^-1 by process,signed density change,future density diagnostic producer,,MISSING_REQUIRED,total before/after change cannot uniquely assign metamorphism/overburden/wet compaction
fresh_snow_density,density_structure,kg m^-3,nonnegative,potential transition reconstruction,accumulation_m|snow_layers_before|snow_layers_after,PARTIAL_AMBIGUOUS,same-day compaction/merge prevents treating layer difference as direct fresh density
paired_harvard_observations,harvard_geometry_interception,"m, mm SWE, kg m^-3",state-domain specific,HF237 matched-date strata,observed_stratum|date|observed_snow_depth_m|observed_swe_mm|observed_density_kg_m3,AVAILABLE_DIRECT,match dates and preserve interpolation/quality flags
snow_canopy_interception_ledger,harvard_geometry_interception,m SWE or kg m^-2,storage/input/export explicit,future canopy-snow producer,,MISSING_REQUIRED,generic vegetation interception cannot stand in for snow storage/unloading/drip
canopy_state_at_snow_step,harvard_geometry_interception,"fraction, LAI/geometry as applicable",bounded state,future trace of existing canopy producer,,MISSING_REQUIRED,fixture summary cannot replace daily state consumed by snow
