Latitude: 43.928928  Longitude: -71.765647
X & Y on Lambert Conformal Conic: 2120775.51 513754.32
Tile: 11935
Elevation: 588 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),tmax (deg c),tmin (deg c),vp (Pa)
1989,1,31615.31,-5.39,-16.05,174.83
1989,2,31663.73,-2.51,-11.57,252.28
1989,3,31716.10,-3.91,-12.10,241.63
1989,4,31772.38,-14.48,-24.41,84.58
1989,5,31832.52,-13.76,-25.35,77.68
1989,6,31896.49,-9.38,-23.19,94.31
1989,7,31964.22,-3.51,-18.75,139.03
1989,8,32035.68,3.86,-8.98,309.85
1989,9,32110.80,-1.38,-8.45,322.96
1989,10,32189.54,-4.35,-14.69,195.66
1989,11,32271.83,-3.27,-14.87,192.72
1989,12,32357.63,0.62,-16.52,168.01
1989,13,32446.86,1.11,-13.77,210.96
1989,14,32539.47,3.36,-15.19,187.70
1989,15,32635.40,5.09,-7.79,339.96
1989,16,32734.58,-0.28,-6.20,384.31
1989,17,32836.94,-2.11,-11.83,246.95
1989,18,32942.43,0.43,-8.47,322.48
1989,19,33050.98,1.26,-4.98,421.80
1989,20,33162.51,0.14,-8.20,329.24
1989,21,33276.96,-8.74,-21.60,108.58
1989,22,33394.27,-1.48,-21.44,110.11
1989,23,33514.36,5.01,-15.16,188.15
1989,24,33637.16,5.50,-12.43,235.41
1989,25,33762.61,-2.26,-13.93,208.33
1989,26,33890.64,-0.23,-16.14,173.44
1989,27,34021.19,-1.56,-10.34,278.28
1989,28,34154.17,2.36,-14.15,204.61
1989,29,34289.53,3.94,-9.43,299.01
1989,30,34427.19,2.67,-6.50,375.74
1989,31,34567.09,3.50,-5.75,397.82
1989,32,34709.17,10.73,-2.93,492.23
1989,33,34853.36,0.11,-8.39,324.39
1989,34,34999.59,-4.32,-11.87,246.15
1989,35,35147.79,-11.08,-19.08,135.20
1989,36,35297.91,-7.97,-18.93,136.94
1989,37,35449.88,-4.75,-15.51,182.79
1989,38,35603.65,-4.06,-14.04,206.44
1989,39,35759.14,-5.19,-19.30,132.72
1989,40,35916.30,-10.26,-20.51,119.43
1989,41,36075.08,-7.57,-22.36,101.59
1989,42,36235.40,-4.05,-16.46,168.84
1989,43,36397.23,-2.23,-13.11,222.80
1989,44,36560.49,-3.05,-17.93,149.17
1989,45,36725.14,5.05,-10.89,266.29
1989,46,36891.12,0.67,-6.35,379.98
1989,47,37058.39,-2.16,-11.81,247.48
1989,48,37226.88,-11.55,-24.72,82.25
1989,49,37396.55,-9.87,-25.05,79.83
1989,50,37567.35,-4.58,-20.99,114.56
1989,51,37739.23,2.73,-15.22,187.19
1989,52,37912.15,4.65,-8.01,334.17
1989,53,38086.06,4.59,-2.95,491.29
1989,54,38260.91,-1.64,-8.72,316.30
1989,55,38436.66,-6.28,-16.37,170.17
1989,56,38613.27,-6.96,-15.34,185.47
1989,57,38790.70,-4.50,-19.28,132.90
1989,58,38968.90,-2.69,-15.01,190.52
1989,59,39147.84,-0.32,-16.71,165.31
1989,60,39327.48,-1.40,-13.53,215.19
1989,61,39507.77,-6.03,-15.24,186.98
1989,62,39688.68,-4.02,-14.83,193.36
1989,63,39870.19,-3.40,-11.16,260.62
1989,64,40052.24,1.21,-9.02,308.85
1989,65,40234.80,-5.72,-15.52,182.59
1989,66,40417.85,-11.55,-25.21,78.66
1989,67,40601.34,-4.23,-23.34,93.14
1989,68,40785.25,0.35,-19.82,126.90
1989,69,40969.54,1.85,-15.29,186.22
1989,70,41154.18,3.67,-11.67,250.22
1989,71,41339.14,-0.76,-11.30,257.71
1989,72,41524.39,-0.49,-17.88,149.83
1989,73,41709.90,8.19,-10.05,284.72
1989,74,41895.64,14.09,-2.43,510.98
1989,75,42081.58,5.12,-3.85,459.56
1989,76,42267.69,3.10,-6.57,373.77
1989,77,42453.94,2.10,-5.74,398.10
1989,78,42640.31,-2.80,-10.84,267.52
1989,79,42826.76,0.91,-14.03,206.66
1989,80,43013.26,1.15,-9.07,307.55
1989,81,43199.80,-2.34,-13.58,214.37
1989,82,43386.33,3.26,-14.42,200.11
1989,83,43572.84,3.50,-8.99,309.51
1989,84,43759.29,8.13,-4.27,445.16
1989,85,43945.65,7.76,-1.59,543.72
1989,86,44131.90,16.39,-4.17,428.31
1989,87,44318.01,17.57,0.92,627.57
1989,88,44503.95,14.45,0.43,630.29
1989,89,44689.69,1.62,-3.42,474.55
1989,90,44875.20,1.81,-2.20,519.53
1989,91,45060.45,3.11,-3.54,470.29
1989,92,45245.41,6.94,-6.68,370.54
1989,93,45430.06,3.60,-3.23,481.19
1989,94,45614.35,6.09,-0.93,570.59
1989,95,45798.26,15.17,1.31,671.18
1989,96,45981.75,8.62,0.88,650.96
1989,97,46164.80,5.75,-1.24,557.87
1989,98,46347.37,4.22,-3.69,465.10
1989,99,46529.42,6.87,-8.03,333.75
1989,100,46710.92,3.31,-8.33,326.02
1989,101,46891.84,2.58,-10.38,277.36
1989,102,47072.13,5.13,-9.84,289.49
1989,103,47251.77,6.22,-6.49,376.03
1989,104,47430.71,6.58,-3.94,456.41
1989,105,47608.91,5.45,-3.22,481.83
1989,106,47786.34,3.43,-0.99,568.24
1989,107,47962.95,15.08,-0.68,581.09
1989,108,48138.71,13.32,1.61,686.23
1989,109,48313.56,9.00,-1.47,548.36
1989,110,48487.47,7.47,-5.51,405.12
1989,111,48660.39,10.60,-5.98,390.82
1989,112,48832.27,3.35,-6.34,380.33
1989,113,49003.08,2.32,-8.44,323.26
1989,114,49172.75,5.58,-5.09,418.39
1989,115,49341.25,7.63,-5.35,410.27
1989,116,49508.51,11.83,-3.85,459.35
1989,117,49674.50,9.23,-4.27,445.19
1989,118,49839.15,7.64,-2.48,509.01
1989,119,50002.42,11.78,-5.23,414.03
1989,120,50164.24,15.58,1.94,697.39
1989,121,50324.57,18.74,4.51,842.34
1989,122,50483.35,11.88,5.75,918.61
1989,123,50640.52,8.91,3.68,794.78
1989,124,50796.01,15.43,-0.59,584.98
1989,125,50949.78,14.67,-0.02,609.84
1989,126,51101.76,17.46,3.74,798.30
1989,127,51251.88,16.66,5.33,892.17
1989,128,51400.09,11.04,-0.81,575.56
1989,129,51546.33,12.32,-1.90,531.45
1989,130,51690.51,13.44,0.05,613.11
1989,131,51832.60,10.94,3.91,808.07
1989,132,51972.51,15.04,7.03,1003.79
1989,133,52110.18,14.46,7.16,1012.63
1989,134,52245.54,18.25,7.01,1001.91
1989,135,52378.53,19.66,4.30,830.30
1989,136,52509.07,20.87,5.50,903.08
1989,137,52637.11,24.58,5.22,885.61
1989,138,52762.57,27.46,7.16,1012.49
1989,139,52885.38,28.27,8.40,1101.65
1989,140,53005.47,27.87,9.75,1206.56
1989,141,53122.79,23.95,8.55,1113.36
1989,142,53237.25,16.80,5.86,925.69
1989,143,53348.78,21.28,6.30,954.47
1989,144,53457.33,17.09,9.03,1149.65
1989,145,53562.83,22.59,9.68,1200.88
1989,146,53665.20,22.00,11.27,1335.61
1989,147,53764.39,18.18,8.91,1140.78
1989,148,53860.32,13.87,4.58,846.89
1989,149,53952.94,21.00,2.69,740.87
1989,150,54042.18,19.30,7.69,1050.14
1989,151,54127.98,18.84,11.47,1353.87
1989,152,54210.29,25.30,12.96,1492.74
1989,153,54289.03,22.52,12.98,1495.45
1989,154,54364.16,23.63,10.05,1231.72
1989,155,54435.63,21.48,10.32,1253.88
1989,156,54503.37,21.06,6.94,997.45
1989,157,54567.34,15.57,9.10,1155.06
1989,158,54627.49,19.65,10.25,1248.09
1989,159,54683.78,18.25,11.58,1363.33
1989,160,54736.16,16.19,10.03,1229.87
1989,161,54784.59,15.86,7.28,1020.63
1989,162,54829.03,16.67,8.14,1082.63
1989,163,54869.45,19.05,5.66,913.16
1989,164,54905.82,13.67,5.88,927.03
1989,165,54938.10,19.72,6.84,990.45
1989,166,54966.28,12.87,7.73,1053.05
1989,167,54990.32,14.72,7.28,1020.55
1989,168,55010.21,20.97,9.69,1202.02
1989,169,55025.94,20.02,10.36,1257.36
1989,170,55037.48,22.77,9.73,1205.68
1989,171,55044.84,25.28,9.13,1157.24
1989,172,55047.99,25.90,12.62,1460.30
1989,173,55046.95,28.58,14.88,1691.66
1989,174,55041.71,27.90,13.24,1520.94
1989,175,55032.28,21.74,12.96,1493.02
1989,176,55018.67,25.36,10.30,1252.35
1989,177,55000.87,26.60,11.28,1336.74
1989,178,54978.92,28.40,13.51,1547.58
1989,179,54952.83,24.17,14.07,1604.90
1989,180,54922.61,18.13,9.02,1149.38
1989,181,54888.30,21.77,4.96,869.30
1989,182,54849.92,21.06,7.75,1054.01
1989,183,54807.50,25.91,10.52,1270.72
1989,184,54761.08,23.51,13.18,1514.55
1989,185,54710.69,23.63,14.14,1612.65
1989,186,54656.37,20.46,14.58,1659.12
1989,187,54598.16,25.77,15.23,1729.68
1989,188,54536.11,25.50,14.04,1601.85
1989,189,54470.26,22.03,10.90,1303.02
1989,190,54400.67,23.53,7.78,1056.01
1989,191,54327.38,21.47,9.42,1180.66
1989,192,54250.45,21.76,10.13,1238.37
1989,193,54169.94,23.39,9.05,1151.50
1989,194,54085.89,24.44,8.63,1119.47
1989,195,53998.38,20.45,10.63,1280.49
1989,196,53907.46,22.64,8.65,1120.30
1989,197,53813.19,23.72,8.15,1083.31
1989,198,53715.63,21.81,10.50,1269.23
1989,199,53614.86,25.19,11.44,1351.28
1989,200,53510.93,24.95,12.23,1422.80
1989,201,53403.91,21.70,12.97,1493.83
1989,202,53293.87,23.99,10.75,1290.47
1989,203,53180.88,25.94,11.99,1401.12
1989,204,53065.00,26.13,13.87,1584.67
1989,205,52946.30,27.06,11.97,1398.65
1989,206,52824.85,29.08,14.18,1616.27
1989,207,52700.71,29.62,15.51,1761.36
1989,208,52573.97,29.93,15.92,1808.60
1989,209,52444.68,22.91,14.55,1655.47
1989,210,52312.91,19.97,6.76,984.73
1989,211,52178.74,22.18,7.67,1048.60
1989,212,52042.23,23.87,7.60,1043.43
1989,213,51903.44,24.70,8.25,1090.88
1989,214,51762.44,24.88,9.86,1216.08
1989,215,51619.31,24.94,13.31,1528.06
1989,216,51474.10,26.06,15.67,1779.86
1989,217,51326.88,25.44,17.18,1958.33
1989,218,51177.71,26.70,15.93,1809.66
1989,219,51026.66,23.00,14.28,1627.36
1989,220,50873.79,18.83,9.02,1149.34
1989,221,50719.16,20.63,4.49,841.19
1989,222,50562.83,23.19,6.67,978.69
1989,223,50404.86,19.55,9.30,1170.66
1989,224,50245.30,19.00,10.98,1310.38
