month,mean_residue_depth_m,min_residue_depth_m,max_residue_depth_m,row_count
1,0.0230258509299,0.0230258509299,0.0230258509299,2790
2,0.0230258509299,0.0230258509299,0.0230258509299,2520
3,0.0230258509299,0.0230258509299,0.0230258509299,2790
4,0.0230258509299,0.0230258509299,0.0230258509299,2700
5,0.0230258509299,0.0230258509299,0.0230258509299,2790
6,0.0230258509299,0.0230258509299,0.0230258509299,2700
7,0.0230258509299,0.0230258509299,0.0230258509299,2790
8,0.0230258509299,0.0230258509299,0.0230258509299,2790
9,0.0230258509299,0.0230258509299,0.0230258509299,2700
10,0.0230258509299,0.0230258509299,0.0230258509299,2790
11,0.0230258509299,0.0230258509299,0.0230258509299,2700
12,0.0230258509299,0.0230258509299,0.0230258509299,2814
