lane_id,multiplier,source,primary_peak_ratio,chronology_abs_error_days,median_effective_input_ratio,median_storage_ratio,classification,selected_multiplier
snotel_mica_creek_st_joe_id,1.0,retained,0.6191533199355197,35.0,0.9661452025913729,0.45527302809437675,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.1,retained,0.7118253564474041,30.0,1.0668442309049277,0.5535271140971287,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.2,retained,0.7961880528369087,25.0,1.1645149602554625,0.6602739694749465,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.3,retained,0.8805404453466845,24.0,1.2673404680196734,0.76712458884513,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.4,retained,0.967546895502858,21.0,1.3908309722558596,0.8738783082613022,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.5,retained,1.0594222449835722,20.0,1.4903242396440766,0.9806708276497217,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.6,extension,1.138345759381663,16.0,1.5900503145666212,1.0714218164587883,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.7,extension,1.2134460812860148,15.0,1.6908034048925074,1.1599840081007997,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.8,extension,1.2885451612333974,13.0,1.7908459411597402,1.2411604693352252,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,1.9,extension,1.3648716745361347,10.0,1.8908893416581924,1.3225465593167225,TRADEOFF_BRACKETED,1.4
snotel_mica_creek_st_joe_id,2.0,extension,1.5291415860195425,8.0,1.9909323809222974,1.403606838614748,TRADEOFF_BRACKETED,1.4
snotel_niwot_co,1.0,retained,0.4953842559051843,46.5,1.0379454329863764,0.2258696592733312,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.1,retained,0.5766489791967356,46.5,1.141739976285014,0.3245644939771374,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.2,retained,0.6531279427626488,26.0,1.2471902285702774,0.3961726187433765,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.3,retained,0.722692242207315,19.5,1.3511247632315015,0.467779172176956,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.4,retained,0.7922885006541716,19.5,1.4553596784430454,0.5393803803998931,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.5,retained,0.8704565114541561,19.5,1.559317570330753,0.6126805381377989,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.6,extension,0.9495737580098039,14.0,1.6632859455383366,0.7102082976044855,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.7,extension,1.0286813436028517,13.5,1.7672541977488256,0.8076015025688359,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.8,extension,1.1077906290466335,14.0,1.871224029195084,0.9048149136561554,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,1.9,extension,1.1871847678418934,9.5,1.975198900322521,1.0019445362778852,TRADEOFF_BRACKETED,1.7
snotel_niwot_co,2.0,extension,1.2699137230572042,9.5,2.079173713915944,1.0980678702654894,TRADEOFF_BRACKETED,1.7
snotel_paradise_wa,1.0,retained,0.4734826857635193,37.0,0.7125107992744109,0.37049930874867654,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.1,retained,0.5357873788891457,31.0,0.7841106722322829,0.44326927817297873,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.2,retained,0.5980540764946489,26.0,0.855945314506185,0.5075468760718991,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.3,retained,0.6605836037571913,20.0,0.927702070356047,0.5782929296275586,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.4,retained,0.7339590339736778,16.0,0.9993051604716425,0.655015741412969,BRACKETED_CANDIDATE,1.8
