operand,evidence_class,best_available_evidence,what_it_constrains,what_it_does_not_constrain,later_obligation
minimum_temperature_inactive_c,ASSUMED_FOR_EXECUTION,"Daymet Tmin q00..q100, yday 60-180, nine plots, 1989-2024",finite deterministic search support only,physiological bound ecological optimum or unique threshold,profile complete vectors and report boundary hits
minimum_temperature_unconstrained_c,COMBINATION_CONSTRAINED,ordered pairs of the same Daymet Tmin support,ordered temperature response width,independent identification from inactive threshold,retain equifinal pairs
vapor_pressure_deficit_unconstrained_pa,ASSUMED_FOR_EXECUTION,"Daymet-derived VPD q00..q100, yday 60-180",finite deterministic search support only,physiological bound causal VPD effect or unique threshold,profile jointly with temperature
vapor_pressure_deficit_inactive_pa,COMBINATION_CONSTRAINED,ordered pairs of the same Daymet-derived VPD support,ordered VPD response width,independent identification from unconstrained threshold,retain equifinal pairs and report saturation
photoperiod_inactive_hours,ASSUMED_FOR_EXECUTION,"native geometry and observed spring q00..q100 support within the physical 0-24 h domain",finite deterministic search support only,physiological bound independent interannual leverage or unique threshold,profile jointly and retain equifinality
photoperiod_unconstrained_hours,COMBINATION_CONSTRAINED,ordered pairs of the same native photoperiod support,ordered photoperiod response width,independent identification from inactive threshold,report calendar confounding
temperature_family,COMBINATION_CONSTRAINED,"within-plot spring anomaly association r=-0.4315; conditional standardized coefficient=-0.3581",association supports retaining temperature as a joint sensitivity axis,causality GSI response form or either threshold alone,sensitivity test all retained profiles
vpd_family,NONIDENTIFIABLE,"association r=-0.3304; conditional coefficient=-0.1337; Tmin/VPD anomaly r=0.5493",VPD is plausible but weakly separating,unique VPD thresholds or causal attribution,retain VPD ensemble axis
photoperiod_family,NONIDENTIFIABLE,deterministic latitude/calendar geometry with strong seasonal covariance,seasonal support,independent year-to-year attribution,retain photoperiod ensemble axis
elevation_effect,DATA_CONSTRAINED,"interval-bound slopes 2.298 and 2.342 d/100m",descriptive spatial timing gradient,a production correction or plot microclimate,diagnostic only
